"","FID","Property","Area","Status","Name","Old_name","RT_status","r_raster3","ARRIVE_MCP","POINT_X","POINT_Y","IPA","art_nat","Perimeter","Type","Purpose","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","Distance","Conversion","Maintenance"
"1293",25,"Anna Plains",0,"Bore","Mono Bore"," "," ",1293,0,-1102705.444,-2118925.621,0,1,0,1,"Artificial",23,30,19,35,23,38,36,41,42,48,65,32,23,25,39,15,64,35,29,33,185.3387713,11978.00815695,1817.568320089
"1292",26,"Anna Plains",0,"Tank","Erinbee Tank"," "," ",1292,0,-1104192.992,-2120151.027,0,1,0,1,"Artificial",22,29,19,36,23,37,37,41,42,49,67,34,23,23,39,14,62,35,30,34,187.0534907,11980.58023605,1820.191840771
"1323.2",27,"Anna Plains",0,"Tank","Top Tank"," "," ",1323,0,-1105212.65,-2116750.701,0,1,0,1,"Artificial",23,30,19,35,23,39,35,41,42,48,66,32,23,25,40,15,65,35,30,33,184.3556374,11976.5334561,1816.064125222
"1323.3",28,"Anna Plains",0,"Tank","2 Mile Tank"," "," ",1323,0,-1107012.982,-2117571.104,0,1,0,1,"Artificial",23,30,19,35,23,39,35,41,42,48,66,32,23,25,40,15,65,35,30,33,185.84659,11978.769885,1818.3452827
"1321.1",29,"Anna Plains",0,"Dam","Ian Turkey Nest"," "," ",1321,0,-1109443.745,-2117997.853,0,1,0,2,"Artificial",21,29,21,36,23,37,38,42,42,51,68,36,23,25,39,15,60,36,29,34,187.2577018,11980.8865527,1820.504283754
"1290",30,"Anna Plains",0,"Dam","Yup Turkey Nest"," "," ",1290,0,-1112491.04,-2120652.369,0,1,0,2,"Artificial",21,29,20,35,24,35,37,41,43,51,65,37,23,24,38,16,57,36,27,33,190.9647407,11986.44711105,1826.176053271
"1260",31,"Anna Plains",0,"Tank","Curly Bore"," "," ",1260,0,-1103980.076,-2124750.876,0,1,0,1,"Artificial",21,28,19,36,23,37,38,40,42,49,66,35,23,24,39,15,60,36,30,34,191.1980177,11986.79702655,1826.532967081
"1290.1",32,"Anna Plains",0,"Tank","Blues Poly"," "," ",1290,0,-1108557.461,-2123178.605,0,1,0,1,"Artificial",21,29,20,35,24,35,37,41,43,51,65,37,23,24,38,16,57,36,27,33,191.5902434,11987.3853651,1827.133072402
"1290.2",33,"Anna Plains",0,"Dam","Dundee Turkey Nest"," "," ",1290,0,-1113662.119,-2123191.77,0,1,0,2,"Artificial",21,29,20,35,24,35,37,41,43,51,65,37,23,24,38,16,57,36,27,33,193.7607793,11990.64116895,1830.453992329
"1293.1",34,"Anna Plains",0,"Tank","Three Ways Bore"," "," ",1293,0,-1099724.144,-2123206.56,0,1,0,1,"Artificial",23,30,19,35,23,38,36,41,42,48,65,32,23,25,39,15,64,35,29,33,188.149628,11982.224442,1821.86893084
"1258",35,"Anna Plains",0,"Bore","Nurdy Bore"," "," ",1258,0,-1109353.754,-2129263.441,0,1,0,1,"Artificial",20,29,20,35,24,35,38,40,42,49,63,37,24,24,37,17,57,36,27,31,197.4708625,11996.20629375,1836.130419625
"1258.1",36,"Anna Plains",0,"Dam","Nurdy Turkey Nest"," "," ",1258,0,-1109653.928,-2129396.187,0,1,0,2,"Artificial",20,29,20,35,24,35,38,40,42,49,63,37,24,24,37,17,57,36,27,31,197.7136165,11996.57042475,1836.501833245
"1258.2",37,"Anna Plains",0,"Tank","Nurdy Poly"," "," ",1258,0,-1111235.826,-2128258.604,0,1,0,1,"Artificial",20,29,20,35,24,35,38,40,42,49,63,37,24,24,37,17,57,36,27,31,197.3228281,11995.98424215,1835.903926993
"1257",38,"Anna Plains",0,"Tank","Simone Poly"," "," ",1257,0,-1114123.654,-2126202.449,0,1,0,1,"Artificial",21,28,20,36,24,35,37,40,42,49,64,37,24,24,36,17,56,36,27,32,196.6757798,11995.0136697,1834.913943094
"1225",39,"Anna Plains",0,"Bore","Srewarts Bore"," "," ",1225,0,-1111943.907,-2133369.627,0,1,0,1,"Artificial",21,28,20,36,24,35,37,40,42,49,63,37,24,24,35,16,56,35,27,32,202.2744817,12003.41172255,1843.479957001
"1224",40,"Anna Plains",0,"Tank","Stewarts Poly"," "," ",1224,0,-1113440.736,-2131935.92,0,1,0,1,"Artificial",23,27,20,35,24,36,37,40,42,50,64,37,24,24,34,17,55,36,26,30,201.583384,12002.375076,1842.42257752
"1257.1",41,"Anna Plains",0,"Dam","Stewarts Turkey Nest"," "," ",1257,0,-1116267.834,-2129584.586,0,1,0,2,"Artificial",21,28,20,36,24,35,37,40,42,49,64,37,24,24,36,17,56,36,27,32,200.651633,12000.9774495,1840.99699849
"1256",42,"Anna Plains",0,"Tank","No 1 Tank"," "," ",1256,0,-1119211.54,-2126899.097,0,1,0,1,"Artificial",22,28,21,36,25,36,37,40,41,50,66,37,24,24,35,17,56,36,26,31,199.536823,11999.3052345,1839.29133919
"1224.1",43,"Anna Plains",0,"Bore","Dallas Bore"," "," ",1224,0,-1113133.145,-2134520.242,0,1,0,1,"Artificial",23,27,20,35,24,36,37,40,42,50,64,37,24,24,34,17,55,36,26,30,203.8103925,12005.71558875,1845.829900525
"1225.1",44,"Anna Plains",0,"Tank","Concrete Tank"," "," ",1225,0,-1111911.514,-2133073.068,0,1,0,1,"Artificial",21,28,20,36,24,35,37,40,42,49,63,37,24,24,35,16,56,35,27,32,201.9904254,12002.9856381,1843.045350862
"1224.2",45,"Anna Plains",0,"Tank","Jo Poly"," "," ",1224,0,-1115277.735,-2134761.289,0,1,0,1,"Artificial",23,27,20,35,24,36,37,40,42,50,64,37,24,24,34,17,55,36,26,30,204.917329,12007.3759935,1847.52351337
