ID,LONG,LAT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
60,122.0999985,-20.5,27,33,25,43,38,54,51,63,56,66,78,46,38,39,56,27,75,36,43,47
61,122.1500015,-20.5,26,35,25,43,37,55,51,62,56,66,79,47,39,38,56,27,75,36,43,48
62,122.1999969,-20.5,25,37,24,42,38,55,50,62,56,65,78,47,39,37,54,26,74,36,43,48
63,122.25,-20.5,26,37,24,42,37,55,50,62,55,65,78,47,39,36,54,26,74,35,44,47
64,122.3000031,-20.5,27,38,24,43,37,56,50,60,56,66,78,48,39,36,54,25,74,33,43,45
65,122.3499985,-20.5,28,38,23,43,38,56,51,60,56,66,79,47,38,34,54,25,73,33,43,45
66,122.4000015,-20.5,28,37,22,43,38,55,50,60,56,65,78,46,38,34,54,26,72,32,41,44
67,122.4499969,-20.5,28,36,22,41,37,54,48,60,56,65,78,45,37,33,54,27,71,32,41,45
68,122.5,-20.5,28,34,22,41,37,54,48,60,56,64,76,45,38,32,54,25,71,32,41,44
69,122.5500031,-20.5,28,34,22,41,35,53,45,61,54,63,75,45,38,31,52,25,71,32,40,44
70,122.5999985,-20.5,28,34,21,40,32,53,43,60,54,62,72,44,36,30,53,24,67,31,40,43
71,122.6500015,-20.5,27,34,21,40,29,52,42,60,53,60,71,43,36,29,53,23,65,30,40,43
72,122.6999969,-20.5,24,32,18,38,26,50,41,60,53,59,70,43,36,29,51,23,63,30,39,42
73,122.75,-20.5,23,32,18,35,26,47,41,58,51,58,70,41,35,29,51,23,62,30,38,42
74,122.8000031,-20.5,23,30,15,33,24,45,39,57,49,56,68,38,35,27,51,23,59,29,37,40
75,122.8499985,-20.5,23,29,14,33,23,44,37,54,47,53,63,37,33,27,51,22,56,29,36,36
76,119.1500015,-20.45000076,23,24,27,34,21,42,32,45,32,38,58,33,18,21,24,19,54,32,29,36
77,119.1999969,-20.45000076,23,23,27,30,21,41,33,45,31,38,57,33,18,22,26,19,55,32,31,37
78,119.25,-20.45000076,23,23,25,31,20,39,32,47,32,38,55,33,18,22,26,19,54,34,33,38
79,119.3000031,-20.45000076,23,24,26,32,22,38,34,47,34,39,54,34,19,22,26,19,53,32,34,37
80,119.3499985,-20.45000076,22,23,25,33,22,36,32,48,33,39,55,33,20,22,28,19,52,32,35,37
81,119.4000015,-20.45000076,20,22,26,33,22,35,30,48,33,42,57,33,20,24,27,18,53,29,37,38
82,119.4499969,-20.45000076,20,22,25,34,22,35,31,48,33,46,63,35,20,25,26,19,54,30,39,40
83,119.5,-20.45000076,20,23,29,35,23,35,31,46,34,50,66,38,20,27,31,20,56,29,39,42
84,119.5500031,-20.45000076,21,26,30,36,25,37,32,48,34,51,68,40,21,28,31,20,54,30,38,43
85,119.5999985,-20.45000076,23,29,31,35,27,41,37,49,36,52,69,40,22,28,31,21,55,30,39,43
86,119.6500015,-20.45000076,23,29,33,35,28,41,37,54,38,53,71,39,24,28,31,23,55,30,40,41
87,119.6999969,-20.45000076,24,28,35,36,28,42,35,55,38,53,71,37,24,28,33,23,52,31,40,41
88,119.75,-20.45000076,23,29,36,35,28,40,35,57,38,53,69,38,25,28,33,22,51,31,40,40
89,119.8000031,-20.45000076,23,30,39,34,27,38,35,57,38,53,68,38,25,29,33,21,51,32,41,39
90,119.8499985,-20.45000076,22,30,37,34,26,35,35,55,38,50,69,39,26,27,34,22,52,34,42,39
91,119.9000015,-20.45000076,23,30,36,34,28,35,33,53,37,49,66,35,25,27,35,21,50,35,40,38
92,119.9499969,-20.45000076,23,27,32,32,28,35,32,50,37,48,62,35,24,27,35,19,51,35,39,36
93,120,-20.45000076,25,29,31,31,28,34,33,49,37,48,61,36,23,27,38,18,50,34,38,38
94,120.0500031,-20.45000076,24,26,29,32,27,32,32,47,35,48,61,36,22,25,38,18,54,31,38,39
95,120.0999985,-20.45000076,23,26,28,32,26,31,32,48,34,47,57,36,23,25,36,17,55,30,37,39
96,120.1500015,-20.45000076,21,26,27,32,26,32,31,48,34,48,57,37,22,25,36,17,56,30,36,39
97,120.1999969,-20.45000076,21,28,27,33,22,33,33,45,34,48,58,38,22,26,35,17,57,29,36,39
98,120.25,-20.45000076,22,30,26,33,22,35,34,44,36,49,59,38,22,26,35,18,55,26,36,39
99,120.3000031,-20.45000076,23,30,26,34,24,36,35,45,38,49,59,38,23,28,36,18,55,26,37,40
100,120.3499985,-20.45000076,23,33,26,33,24,40,35,45,39,48,58,38,23,30,37,19,56,26,38,38
101,120.4000015,-20.45000076,25,34,25,34,25,42,37,45,41,49,60,36,25,30,37,19,56,26,37,38
102,120.4499969,-20.45000076,26,32,25,34,26,42,39,44,42,50,60,37,25,31,37,19,57,27,36,38
103,120.5,-20.45000076,25,29,27,33,26,44,38,45,43,51,60,37,24,32,38,19,59,28,36,37
104,120.5500031,-20.45000076,23,28,29,32,26,44,40,46,43,51,61,39,24,31,40,20,58,26,37,39
105,120.5999985,-20.45000076,24,26,29,33,26,45,41,44,43,54,61,37,24,31,41,21,59,26,37,38
106,120.6500015,-20.45000076,24,25,28,33,24,45,41,48,44,54,62,38,25,31,40,22,58,26,37,40
107,120.6999969,-20.45000076,25,25,28,33,24,46,40,50,43,52,61,40,25,31,41,24,56,26,36,38
108,120.75,-20.45000076,25,25,26,30,25,46,40,51,43,52,61,40,26,31,43,28,56,27,35,40
109,120.8000031,-20.45000076,24,24,24,30,26,46,40,50,43,52,61,41,25,31,43,28,55,29,33,38
110,120.8499985,-20.45000076,21,23,22,30,26,45,39,50,42,51,60,42,25,30,43,28,53,30,33,38
111,120.9000015,-20.45000076,21,23,20,28,27,45,38,48,43,51,59,41,23,31,43,26,52,30,34,36
112,120.9499969,-20.45000076,20,24,18,28,26,45,38,47,42,48,56,41,22,32,44,25,53,29,32,36
