FID,Property,Area,Status,Name,Old_name,RT_status,r_raster3,ARRIVE_MCP,POINT_X,POINT_Y,IPA,art_nat,Perimeter,Type,Purpose
241,Thangoo,0,Tank, ,BOREEQ,Tank,1869,0,-1026425.209,-1985286.825,0,1,0,1,Artificial
242,Thangoo,0,Tank, ,BOREEQ,Tank,1823,0,-1040577.692,-1996476.793,0,1,0,1,Artificial
243,Thangoo,0,Tank, ,BOREEQ,Tank,1805,0,-1046436.92,-2007520.642,0,1,0,1,Artificial
244,Thangoo,0,Tank, ,BOREEQ,Tank,1885,0,-998909.7344,-1978847.678,0,1,0,1,Artificial
245,Roebuck,0,Tank, ,BOREEQ,Tank,1933,1,-981196.8103,-1952397.335,0,1,0,1,Artificial
246,Roebuck,0,Tank, ,BOREEQ,Tank,1932,1,-984689.5674,-1953267.347,0,1,0,1,Artificial
247,Roebuck,0,Tank, ,BOREEQ,Tank,1919,1,-985509.9911,-1957619.218,0,1,0,1,Artificial
248,Roebuck,0,Tank, ,BOREEQ,Tank,1918,1,-987639.2074,-1957338.25,0,1,0,1,Artificial
249,Roebuck,0,Tank, ,BOREEQ,Tank,1955,1,-1002848.116,-1944454.976,0,1,0,1,Artificial
250,Roebuck,0,Tank, ,BOREEQ,Tank,1955,1,-1000740.218,-1944975.997,0,1,0,1,Artificial
251,Roebuck,0,Dam, ,BOREEQ,Dam,1956,1,-996730.6027,-1943631.948,0,1,0,2,Artificial
252,Roebuck,0,Tank, ,BOREEQ,Tank,1957,1,-992363.8042,-1940651.606,0,1,0,1,Artificial
253,Roebuck,0,Tank, ,BOREEQ,Tank,1917,1,-995689.3258,-1961040.257,0,1,0,1,Artificial
254,Roebuck,0,Tank, ,BOREEQ,Tank,1917,1,-994471.9732,-1959610.651,0,1,0,1,Artificial
255,Roebuck,0,Tank, ,BOREEQ,Tank,1916,1,-999695.8779,-1962653.745,0,1,0,1,Artificial
256,Roebuck,0,Tank, ,BOREEQ,Tank,1905,1,-1001638.985,-1964149.522,0,1,0,1,Artificial
257,Roebuck,0,Tank, ,BOREEQ,Tank,1918,1,-989508.896,-1960406.519,0,1,0,1,Artificial
258,Roebuck,0,Tank, ,BOREEQ,Tank,1925,1,-1021831.327,-1953312.831,0,1,0,1,Artificial
259,Roebuck,0,Tank, ,BOREEQ,Tank,1940,1,-1010788.01,-1948521.87,0,1,0,1,Artificial
260,Roebuck,0,Tank, ,BOREEQ,Tank,1940,1,-1013025.951,-1951036.246,0,1,0,1,Artificial
261,Roebuck,0,Tank, ,BOREEQ,Tank,1940,1,-1014772.657,-1951102.074,0,1,0,1,Artificial
262,Roebuck,0,Tank, ,BOREEQ,Tank,1940,1,-1010218.208,-1951111.215,0,1,0,1,Artificial
263, ,0, , ,BOREEQ, ,1976,1,-1037518.381,-1932254.999,0,1,0,1,Artificial
264, ,0, , ,BOREEQ, ,1978,1,-1030829.969,-1934947.968,0,1,0,1,Artificial
265, ,0, , ,BOREEQ, ,1950,1,-1032601.066,-1945599.036,0,1,0,1,Artificial
266, ,0, , ,BOREEQ, ,1937,1,-1032114.632,-1950440.217,0,1,0,1,Artificial
267, ,0, , ,BOREEQ, ,2006,1,-1033381.046,-1922727.772,0,1,0,1,Artificial
268, ,0, , ,BOREEQ, ,1998,1,-994992.2171,-1923978.817,0,1,0,1,Artificial
269, ,0, , ,BOREEQ, ,1990,1,-1037991.382,-1928192.349,0,1,0,1,Artificial
270,Shamrock,0,Tank, ,BOREEQ,Tank,1678,0,-1059827.001,-2042827.893,0,1,0,1,Artificial
271,Shamrock,0,Dam, ,BOREEQ,Dam,1724,0,-1052645.846,-2029177.178,0,1,0,2,Artificial
272,Shamrock,0,Dam, ,BOREEQ,Dam,1703,0,-1045040.364,-2032206.797,0,1,0,2,Artificial
273,Shamrock,0,Dam, ,BOREEQ,Dam,1724,0,-1053442.092,-2030519.873,0,1,0,2,Artificial
274,Frazier Downs,0, , ,BOREEQ, ,1654,0,-1066891.652,-2047189.03,0,1,0,1,Artificial
275,Pardoo,0,Tank, ,BOREEQ,Tank,755,0,-1271204.941,-2205442.523,0,1,0,1,Artificial
276,Pardoo,0,Tank, ,BOREEQ,Tank,817,0,-1255912.733,-2202594.353,0,1,0,1,Artificial
277,Nita Downs,0,Tank, ,BOREEQ,Dam,1473,0,-1071140.945,-2091602.68,0,1,0,1,Artificial
278,Mandora,0, , ,BOREEQ, ,987,0,-1139002.323,-2172062.75,0,1,0,1,Artificial
279,Mandora,0, , ,BOREEQ, ,986,0,-1145694.004,-2174564.304,0,1,0,1,Artificial
280,Mandora,0, , ,BOREEQ, ,985,0,-1153455.802,-2174209.15,0,1,0,1,Artificial
281,Mandora,0, , ,BOREEQ, ,1027,0,-1161210.337,-2166856.403,0,1,0,1,Artificial
282, ,0, , ,BOREEQ, ,455,2,-1313077.379,-2226488.87,0,1,0,1,Artificial
283,Pardoo,0,Tank, ,BOREEQ,Tank,383,0,-1295236.655,-2232164.619,0,1,0,1,Artificial
284, ,0, , ,BOREEQ, ,751,0,-1323952.384,-2208883.123,0,1,0,1,Artificial
285,Pardoo,0, , ,BOREEQ,Tank,755,0,-1270283.941,-2206864.663,0,1,0,1,Artificial
286,Pardoo,0, , ,BOREEQ,Tank,614,0,-1272231.9,-2211383.451,0,1,0,1,Artificial
287,Pardoo,0,Tank, ,BOREEQ,Tank,614,0,-1271419.204,-2212983.357,0,1,0,1,Artificial
288,Pardoo,0,Tank, ,BOREEQ,Tank,612,0,-1282436.798,-2216546.946,0,1,0,1,Artificial
289,Pardoo,0,Tank, ,BOREEQ,Tank,534,0,-1288681.826,-2220857.079,0,1,0,1,Artificial
290,Pardoo,0,Tank, ,BOREEQ,Tank,537,0,-1279177.851,-2220759.542,0,1,0,1,Artificial
291,Pardoo,0,Tank, ,WELLEQ,Tank,760,0,-1241254.709,-2206807.707,0,1,0,1,Artificial
292,Pardoo,0,Tank, ,WELLEQ,Tank,819,0,-1245338.354,-2198024.735,0,1,0,1,Artificial
293,Pardoo,0,Tank, ,WELLEQ,Tank,819,0,-1243781.445,-2197378.564,0,1,0,1,Artificial
294,Wallal Downs,0,Tank, ,WELLEQ,Tank,819,0,-1241511.538,-2200055.303,0,1,0,1,Artificial
295,Wallal Downs,0,Tank, ,WELLEQ,Tank,820,0,-1238037.682,-2200878.679,0,1,0,1,Artificial
296,Wallal Downs,0,Tank, ,WELLEQ,Tank,822,0,-1229249.548,-2193871.981,0,1,0,1,Artificial
297,Wallal Downs,0,Tank, ,WELLEQ,Tank,822,0,-1225968.164,-2194102.42,0,1,0,1,Artificial
298,Wallal Downs,0,Tank, ,WELLEQ,Tank,878,0,-1205283.672,-2184525.239,0,1,0,1,Artificial
299,Wallal Downs,0,Tank, ,WELLEQ,Tank,878,0,-1205262.491,-2184154.542,0,1,0,1,Artificial
300,Wallal Downs,0,Tank, ,WELLEQ,Tank,928,0,-1202589.967,-2183031.19,0,1,0,1,Artificial
301,Wallal Downs,0,Tank, ,WELLEQ,Tank,928,0,-1199267.216,-2181413.163,0,1,0,1,Artificial
302,Wallal Downs,0,Tank, ,WELLEQ,Tank,877,0,-1212592.983,-2187282.892,0,1,0,1,Artificial
303,Wallal Downs,0,Tank, ,WELLEQ,Tank,876,0,-1215973.8,-2187839.597,0,1,0,1,Artificial
304,Wallal Downs,0,Tank, ,WELLEQ,Tank,823,0,-1222267.569,-2195900.823,0,1,0,1,Artificial
305,Wallal Downs,0,Tank, ,WELLEQ,Tank,876,0,-1216813.327,-2190887.33,0,1,0,1,Artificial
306,Wallal Downs,0,Tank, ,WELLEQ,Tank,876,0,-1219605.165,-2189974.532,0,1,0,1,Artificial
307,Wallal Downs,0,Tank, ,WELLEQ,Tank,1024,0,-1176677.814,-2169761.081,0,1,0,1,Artificial
308,Wallal Downs,0,Tank, ,WELLEQ,Tank,931,0,-1187160.884,-2180956.45,0,1,0,1,Artificial
309,Wallal Downs,0,Tank, ,WELLEQ,Tank,978,0,-1191914.387,-2177534.983,0,1,0,1,Artificial
310,Wallal Downs,0,Tank, ,WELLEQ,Tank,978,0,-1189760.788,-2175036.74,0,1,0,1,Artificial
311,Wallal Downs,0,Tank, ,WELLEQ,Tank,980,0,-1180623.744,-2176172.976,0,1,0,1,Artificial
312,Wallal Downs,0,Tank, ,WELLEQ,Tank,979,0,-1186520.712,-2175154.791,0,1,0,1,Artificial
313,Wallal Downs,0,Tank, ,WELLEQ,Tank,1026,0,-1170246.58,-2170441.863,0,1,0,1,Artificial
314,Wallal Downs,0,Tank, ,WELLEQ,Tank,1024,0,-1179731.783,-2170566.548,0,1,0,1,Artificial
315,Mandora,0, , ,WELLEQ, ,1111,0,-1145361.152,-2152967.839,0,1,0,1,Artificial
316,Mandora,0, , ,WELLEQ, ,1111,0,-1145518.31,-2153044.077,0,1,0,1,Artificial
317,Mandora,0, , ,WELLEQ, ,1111,0,-1149225.591,-2153320.35,0,1,0,1,Artificial
318,Mandora,0, , ,WELLEQ, ,1110,0,-1152591.174,-2155251.357,0,1,0,1,Artificial
319,Mandora,0, , ,WELLEQ, ,1110,0,-1152781.053,-2155338.345,0,1,0,1,Artificial
320,Mandora,0, , ,WELLEQ, ,1070,0,-1160129.822,-2159014.101,0,1,0,1,Artificial
321,Mandora,0, , ,WELLEQ, ,1070,0,-1160271.514,-2159020.855,0,1,0,1,Artificial
322,Mandora,0, , ,WELLEQ, ,1027,0,-1165523.002,-2166645.308,0,1,0,1,Artificial
323,Nita Downs,0,Tank, ,WELLEQ,Dam,1471,0,-1078810.302,-2091890.108,0,1,0,1,Artificial
324,Nita Downs,0,Tank, ,WELLEQ,Dam,1497,0,-1083437.781,-2086811.485,0,1,0,1,Artificial
325,Frazier Downs,0, , ,WELLEQ, ,1522,0,-1096032.032,-2081190.757,0,1,0,1,Artificial
326, ,0, , ,WELLEQ, ,1495,0,-1098255.289,-2083752.053,0,1,0,1,Artificial
327,Frazier Downs,0, , ,WELLEQ, ,1549,0,-1087733.623,-2075030.471,0,1,0,1,Artificial
328,Frazier Downs,0, , ,WELLEQ, ,1550,0,-1082915.227,-2074282.304,1,1,0,1,Artificial
329,Frazier Downs,0, , ,WELLEQ, ,1550,0,-1084411.786,-2073117.612,1,1,0,1,Artificial
330,Frazier Downs,0, , ,WELLEQ, ,1548,0,-1091432.419,-2074127.295,0,1,0,1,Artificial
331,Frazier Downs,0, , ,WELLEQ, ,1575,0,-1086944.476,-2067543.049,1,1,0,1,Artificial
332,Frazier Downs,0, , ,WELLEQ, ,1600,0,-1086984.559,-2062086.619,1,1,0,1,Artificial
333,Frazier Downs,0, , ,WELLEQ, ,1626,0,-1083063.413,-2056208.56,0,1,0,1,Artificial
334,Frazier Downs,0, , ,WELLEQ, ,1626,0,-1082550.134,-2053822.99,0,1,0,1,Artificial
335,Frazier Downs,0, , ,WELLEQ, ,1627,0,-1076023.411,-2053930.466,0,1,0,1,Artificial
336,Frazier Downs,0, , ,WELLEQ, ,1627,0,-1079609.1,-2054529.103,0,1,0,1,Artificial
337,Frazier Downs,0, , ,WELLEQ, ,1650,0,-1086667.289,-2051366.076,0,1,0,1,Artificial
338,Frazier Downs,0, , ,WELLEQ, ,1651,0,-1083529.982,-2047166.445,0,1,0,1,Artificial
339,Frazier Downs,0, , ,WELLEQ, ,1700,0,-1064384.973,-2038567.348,0,1,0,1,Artificial
340,Roebuck,0,Tank, ,WELLEQ,Tank,1959,1,-981184.6806,-1940875.237,0,1,0,1,Artificial
341, ,0, , ,WELLEQ, ,1962,1,-1037834.89,-1937263.339,0,1,0,1,Artificial
342, ,0, , ,WELLEQ, ,1962,1,-1034852.063,-1939029.131,0,1,0,1,Artificial
343, ,0, , ,WELLEQ, ,1950,1,-1027483.669,-1943354.124,0,1,0,1,Artificial
344, ,0, , ,WELLEQ, ,1962,1,-1037499.367,-1941452.33,0,1,0,1,Artificial
345,Pardoo,0,Tank, ,WELLEQ,Tank,819,0,-1245359.241,-2198021.982,0,1,0,1,Artificial
346,Pardoo,0,Tank, ,WELLEQ,Tank,819,0,-1243808.294,-2197539.861,0,1,0,1,Artificial
347,Pardoo,0,Tank, ,WELLEQ,Tank,819,0,-1241982.884,-2200493.758,0,1,0,1,Artificial
348,Wallal Downs,0,Tank, ,WELLEQ,Tank,820,0,-1238060.74,-2200881.087,0,1,0,1,Artificial
349,Pardoo,0,Tank, ,WELLEQ,Tank,760,0,-1241263.341,-2206814.436,0,1,0,1,Artificial
350,Wallal Downs,0,Tank, ,WELLEQ,Tank,819,0,-1241579.004,-2200102.373,0,1,0,1,Artificial
351,Pardoo,0,Tank, ,WELLEQ,Tank,760,0,-1241623.947,-2206279.818,0,1,0,1,Artificial
352,Pardoo,0,Tank, ,WELLEQ,Tank,817,0,-1256440.695,-2202200.229,0,1,0,1,Artificial
353,Pardoo,0, , ,WELLEQ,Tank,614,0,-1271718.03,-2211105.436,0,1,0,1,Artificial
354,Pardoo,0,Tank, ,WELLEQ,Tank,542,0,-1253469.998,-2215749.749,0,1,0,1,Artificial
355,Roebuck,0,Tank, ,WELLEQ,Tank,1941,1,-1004583.75,-1950299.842,0,1,0,1,Artificial
356,Mandora,0, , ,WELLEQ, ,1030,0,-1147282.151,-2167592.674,0,1,0,1,Artificial
357,Mandora,0, , ,WELLEQ, ,984,0,-1156427.278,-2172037.694,0,1,0,1,Artificial
358,Mandora,0, , ,WELLEQ, ,1070,0,-1157955.449,-2159433.395,0,1,0,1,Artificial
359,Mandora,0, , ,WELLEQ, ,1070,0,-1157690.694,-2159285.312,0,1,0,1,Artificial
360,Mandora,0, , ,WELLEQ, ,1027,0,-1162612.608,-2170733.313,0,1,0,1,Artificial
361,Mandora,0, , ,WELLEQ, ,1027,0,-1163112.173,-2167017.223,0,1,0,1,Artificial
362,Mandora,0, , ,WELLEQ, ,1026,0,-1167579.292,-2165942.566,0,1,0,1,Artificial
363, ,0, , ,WELLEQ, ,232,0,-1300834.177,-2246190.204,0,1,0,1,Artificial
364, ,0, , ,WELLEQ, ,228,0,-1321875.321,-2248875.092,0,1,0,1,Artificial
365, ,0, , ,WELLEQ, ,381,0,-1307212.578,-2235368.098,0,1,0,1,Artificial
366, ,0, , ,WELLEQ, ,382,0,-1301834.714,-2235457.679,0,1,0,1,Artificial
367, ,0, , ,WELLEQ, ,306,0,-1303299.519,-2240250.75,0,1,0,1,Artificial
368, ,0, , ,WELLEQ, ,307,0,-1302123.522,-2242934.237,0,1,0,1,Artificial
369, ,0, , ,WELLEQ, ,305,0,-1309775.769,-2239260.077,0,1,0,1,Artificial
370, ,0, , ,WELLEQ, ,305,0,-1311695.538,-2242678.106,0,1,0,1,Artificial
371, ,0, , ,WELLEQ, ,231,0,-1306455.14,-2244308.894,0,1,0,1,Artificial
372, ,0, , ,WELLEQ, ,304,0,-1317227.861,-2243130.175,0,1,0,1,Artificial
373, ,0, , ,WELLEQ, ,229,0,-1317405.027,-2245628.468,0,1,0,1,Artificial
374, ,0, , ,WELLEQ, ,228,0,-1321851.366,-2245747.04,0,1,0,1,Artificial
375, ,0, , ,WELLEQ, ,303,0,-1321443.501,-2245008.76,0,1,0,1,Artificial
376, ,0, , ,WELLEQ, ,379,2,-1315694.327,-2237345.874,0,1,0,1,Artificial
377, ,0, , ,WELLEQ, ,380,2,-1311949.612,-2234320.079,0,1,0,1,Artificial
378, ,0, , ,WELLEQ, ,378,0,-1322849.902,-2235369.926,0,1,0,1,Artificial
379, ,0, , ,WELLEQ, ,453,0,-1325052.326,-2230738.744,0,1,0,1,Artificial
380, ,0, , ,WELLEQ, ,454,2,-1317933.207,-2229371.064,0,1,0,1,Artificial
381, ,0, , ,WELLEQ, ,455,2,-1311896.52,-2228909.571,0,1,0,1,Artificial
382, ,0, , ,WELLEQ, ,531,0,-1307689.813,-2223507.249,0,1,0,1,Artificial
383, ,0, , ,WELLEQ, ,753,0,-1311692.188,-2213822.676,0,1,0,1,Artificial
384, ,0, , ,WELLEQ, ,606,0,-1310147.45,-2216802.476,0,1,0,1,Artificial
385, ,0, , ,WELLEQ, ,605,0,-1312580.408,-2217024.132,0,1,0,1,Artificial
386, ,0, , ,WELLEQ, ,606,0,-1308907.33,-2218577.684,0,1,0,1,Artificial
387, ,0, , ,WELLEQ, ,607,0,-1305083.582,-2215396.449,0,1,0,1,Artificial
388, ,0, , ,WELLEQ, ,607,0,-1300207.966,-2216119.484,0,1,0,1,Artificial
389, ,0, , ,WELLEQ, ,607,0,-1304859.147,-2217502.384,0,1,0,1,Artificial
390, ,0, , ,WELLEQ, ,607,0,-1302864.488,-2218283.563,0,1,0,1,Artificial
391, ,0, , ,WELLEQ, ,528,0,-1325904.429,-2224161.972,0,1,0,1,Artificial
392, ,0, , ,WELLEQ, ,528,0,-1323889.817,-2225004.514,0,1,0,1,Artificial
393, ,0, , ,WELLEQ, ,528,0,-1322506.015,-2226715.086,0,1,0,1,Artificial
394, ,0, , ,WELLEQ, ,530,2,-1312672.5,-2222968.623,0,1,0,1,Artificial
395, ,0, , ,WELLEQ, ,530,2,-1314580.899,-2221860.07,0,1,0,1,Artificial
396, ,0, , ,WELLEQ, ,529,0,-1320040.294,-2221321.115,0,1,0,1,Artificial
397, ,0, , ,WELLEQ, ,603,0,-1324708.924,-2218027.288,0,1,0,1,Artificial
398, ,0, , ,WELLEQ, ,753,0,-1316081.257,-2209055.344,0,1,0,1,Artificial
399,Pardoo,0,Tank, ,WELLEQ,Tank,234,0,-1289894.326,-2243932.161,0,1,0,1,Artificial
400, ,0, , ,WELLEQ, ,308,0,-1296257.159,-2238109.039,0,1,0,1,Artificial
401,Pardoo,0,Tank, ,WELLEQ,Tank,308,0,-1295174.686,-2239864.275,0,1,0,1,Artificial
402,Pardoo,0,Tank, ,WELLEQ,Tank,458,0,-1295708.709,-2228246.161,0,1,0,1,Artificial
403,Pardoo,0,Tank, ,WELLEQ,Tank,533,0,-1296835.143,-2223157.676,0,1,0,1,Artificial
404,Pardoo,0,Tank, ,WELLEQ,Tank,533,0,-1293873.881,-2223794.446,0,1,0,1,Artificial
405,Pardoo,0,Tank, ,WELLEQ,Tank,533,0,-1296791.778,-2218943.663,0,1,0,1,Artificial
406, ,0, , ,WELLEQ, ,530,2,-1314063.932,-2222001.079,0,1,0,1,Artificial
407, ,0, , ,WELLEQ, ,753,0,-1315540.837,-2208914.777,0,1,0,1,Artificial
408,Pardoo,0,Tank, ,WELLEQ,Tank,758,0,-1256175.561,-2204448.611,0,1,0,1,Artificial
409,Pardoo,0,Tank, ,WELLEQ,Tank,759,0,-1248346.455,-2207044.754,0,1,0,1,Artificial
410,Pardoo,0,Tank, ,WELLEQ,Tank,757,0,-1262029.126,-2204685.774,0,1,0,1,Artificial
411,Pardoo,0,Tank, ,WELLEQ,Tank,755,0,-1267799.681,-2207888.018,0,1,0,1,Artificial
412,Pardoo,0,Tank, ,WELLEQ,Tank,757,0,-1261728.153,-2206121.36,0,1,0,1,Artificial
413,Pardoo,0, , ,WELLEQ,Tank,614,0,-1272468.606,-2211514.35,0,1,0,1,Artificial
414,Pardoo,0,Tank, ,WELLEQ,Tank,614,0,-1269800.248,-2211183.453,0,1,0,1,Artificial
415,Pardoo,0,Tank, ,WELLEQ,Dam,614,0,-1267697.119,-2212021.22,0,1,0,1,Artificial
416,Pardoo,0,Tank, ,WELLEQ,Tank,615,0,-1262230.658,-2211680.505,0,1,0,1,Artificial
417,Pardoo,0,Tank, ,WELLEQ,Tank,540,0,-1263139.139,-2217362.008,0,1,0,1,Artificial
418,Pardoo,0,Tank, ,WELLEQ,Tank,539,0,-1266481.975,-2216843.777,0,1,0,1,Artificial
419,Pardoo,0,Tank, ,WELLEQ,Tank,539,0,-1270247.256,-2216938.213,0,1,0,1,Artificial
420,Pardoo,0,Tank, ,WELLEQ,Tank,612,0,-1278723.147,-2214111.313,0,1,0,1,Artificial
421,Pardoo,0,Tank, ,WELLEQ,Tank,612,0,-1278570.03,-2215666.777,0,1,0,1,Artificial
422,Pardoo,0,Tank, ,WELLEQ,Tank,613,0,-1274608.851,-2215694.716,0,1,0,1,Artificial
423,Pardoo,0,Tank, ,WELLEQ,Tank,612,0,-1281374.106,-2216314.769,0,1,0,1,Artificial
424,Pardoo,0,Tank, ,WELLEQ,Tank,611,0,-1284937.267,-2216768.616,0,1,0,1,Artificial
425, ,0, , ,WELLEQ, ,608,0,-1299063.041,-2213489.554,0,1,0,1,Artificial
426, ,0, , ,WELLEQ, ,608,0,-1298559.77,-2213157.16,0,1,0,1,Artificial
427,Pardoo,0,Tank, ,WELLEQ,Tank,608,0,-1297795.803,-2215908.074,0,1,0,1,Artificial
428,Pardoo,0,Tank, ,WELLEQ,Tank,611,0,-1287956.345,-2216094.683,0,1,0,1,Artificial
429,Pardoo,0,Tank, ,WELLEQ,Tank,534,0,-1289464.704,-2218524.207,0,1,0,1,Artificial
430,Pardoo,0,Tank, ,WELLEQ,Tank,536,0,-1287780.442,-2221070.275,0,1,0,1,Artificial
431,Pardoo,0,Tank, ,WELLEQ,Tank,537,0,-1280241.66,-2222277.44,0,1,0,1,Artificial
432,Pardoo,0,Tank, ,WELLEQ,Tank,534,0,-1289424.154,-2223516.263,0,1,0,1,Artificial
433,Pardoo,0,Tank, ,WELLEQ,Tank,536,0,-1285489.737,-2222306.275,0,1,0,1,Artificial
434,Pardoo,0,Tank, ,WELLEQ,Tank,461,0,-1283962.126,-2224778.811,0,1,0,1,Artificial
435,Pardoo,0,Tank, ,WELLEQ,Tank,459,0,-1289150.826,-2228939.874,0,1,0,1,Artificial
436,Pardoo,0,Tank, ,WELLEQ,Tank,462,0,-1278668.767,-2224898.662,0,1,0,1,Artificial
437,Pardoo,0,Tank, ,WELLEQ,Tank,538,0,-1275065.516,-2221792.885,0,1,0,1,Artificial
438,Pardoo,0,Tank, ,WELLEQ,Tank,539,0,-1270210.53,-2221436.959,0,1,0,1,Artificial
439,Pardoo,0,Tank, ,WELLEQ,Tank,539,0,-1268448.471,-2221386.927,0,1,0,1,Artificial
440,Pardoo,0,Tank, ,WELLEQ,Tank,463,0,-1274140.48,-2224577.801,0,1,0,1,Artificial
441,Pardoo,0,Tank, ,WELLEQ,Tank,463,0,-1272584.991,-2224382.816,0,1,0,1,Artificial
442,Pardoo,0,Tank, ,WELLEQ,Tank,465,0,-1265440.873,-2221805.705,0,1,0,1,Artificial
443,Pardoo,0,Tank, ,WELLEQ,Tank,462,0,-1278292.436,-2228031.411,0,1,0,1,Artificial
444,Pardoo,0,Tank, ,WELLEQ,Tank,392,0,-1250020.43,-2230181.573,0,1,0,1,Artificial
445,Mandora,0, , ,BORE, ,1031,0,-1138772.519,-2165963.196,0,1,0,1,Artificial
446,Mandora,0, , ,BORE, ,1031,0,-1138470.19,-2165929.72,0,1,0,1,Artificial
447,Mandora,0, , ,BORE, ,1029,0,-1150665.882,-2167026.684,0,1,0,1,Artificial
448,Mandora,0, , ,BORE, ,986,0,-1144142.304,-2170513.487,0,1,0,1,Artificial
449,Mandora,0, , ,BORE, ,1031,0,-1140071.927,-2165872.904,0,1,0,1,Artificial
450, ,0, , ,BORE, ,1423,0,-1040377.488,-2093860.46,0,1,0,1,Artificial
451,Frazier Downs,0, , ,BORE, ,1603,0,-1073149.117,-2059403.916,0,1,0,1,Artificial
452,Frazier Downs,0, , ,BORE, ,1600,0,-1088366.24,-2061338.325,0,1,0,1,Artificial
453,Frazier Downs,0, , ,BORE, ,1601,0,-1084933.409,-2060770.826,0,1,0,1,Artificial
454,Frazier Downs,0, , ,BORE, ,1626,0,-1083036.868,-2054502.95,0,1,0,1,Artificial
455,Frazier Downs,0, , ,BORE, ,1650,0,-1089516.291,-2048078.992,0,1,0,1,Artificial
456,Frazier Downs,0, , ,BORE, ,1743,0,-1068589.511,-2021937.951,0,1,0,1,Artificial
457,Thangoo,0,Tank, ,BORE,Tank,1894,0,-1006192.946,-1970080.895,0,1,0,1,Artificial
458,Thangoo,0,Tank, ,BORE,Tank,1844,0,-1013656.195,-1990482.407,0,1,0,1,Artificial
459,Thangoo,0,Tank, ,BORE,Tank,1869,0,-1026056.103,-1986496.207,0,1,0,1,Artificial
460,Thangoo,0,Tank, ,BORE,Tank,1844,0,-1013230.344,-1990900.828,0,1,0,1,Artificial
461,Thangoo,0,Tank, ,BORE,Tank,1871,0,-1014527.819,-1984779.352,0,1,0,1,Artificial
462,Thangoo,0,Tank, ,BORE,Tank,1893,0,-1012068.443,-1972845.192,0,1,0,1,Artificial
463,Thangoo,0,Tank, ,BORE,Tank,1786,0,-1056352.956,-2014502.785,0,1,0,1,Artificial
464,Thangoo,0,Tank, ,BORE,Tank,1786,0,-1057014.615,-2010337.265,0,1,0,1,Artificial
465, ,0, , ,BORE, ,1812,0,-1014989.698,-2002816.723,0,1,0,1,Artificial
466,Thangoo,0,Tank, ,BORE,Tank,1840,0,-1031729.819,-1989914.151,0,1,0,1,Artificial
467,Thangoo,0,Tank, ,BORE,Tank,1882,0,-1018648.776,-1980941.228,0,1,0,1,Artificial
468,Thangoo,0,Tank, ,BORE,Tank,1843,0,-1021197.284,-1989491.848,0,1,0,1,Artificial
469,Thangoo,0,Tank, ,BORE,Tank,1870,0,-1022003.536,-1985878.305,0,1,0,1,Artificial
470,Roebuck,0,Tank, ,BORE,Tank,1933,1,-976801.8636,-1953204.759,0,1,0,1,Artificial
471,Roebuck,0,Tank, ,BORE,Tank,1956,1,-999102.5523,-1942254.506,0,1,0,1,Artificial
472,Roebuck,0,Tank, ,BORE,Tank,1958,1,-982612.199,-1943073.279,0,1,0,1,Artificial
473,Roebuck,0,Tank, ,BORE,Tank,1908,1,-984647.9025,-1964949.898,0,1,0,1,Artificial
474,Roebuck,0,Tank, ,BORE,Tank,1916,1,-1002698.175,-1961506.354,0,1,0,1,Artificial
475,Roebuck,0,Tank, ,BORE,Tank,1941,1,-1008602.991,-1950669.356,0,1,0,1,Artificial
476,Roebuck,0,Tank, ,BORE,Tank,1941,1,-1008534.517,-1950649.559,0,1,0,1,Artificial
477,Roebuck,0,Tank, ,BORE,Tank,1941,1,-1006587.486,-1950925.698,0,1,0,1,Artificial
478,Roebuck,0,Tank, ,BORE,Tank,1915,1,-1008248.604,-1961517.274,0,1,0,1,Artificial
479, ,0, , ,BORE, ,1964,1,-1028862.392,-1936060.855,0,1,0,1,Artificial
480, ,0, , ,BORE, ,1964,1,-1029752.224,-1937450.553,0,1,0,1,Artificial
481, ,0, , ,BORE, ,1962,1,-1034785.415,-1939607.069,0,1,0,1,Artificial
482, ,0, , ,BORE, ,1949,1,-1035123.417,-1946263.972,0,1,0,1,Artificial
483,Shamrock,0,Dam, ,BORE,Dam,1723,0,-1054687.848,-2028962.905,0,1,0,2,Artificial
484,Shamrock,0,Dam, ,BORE,Dam,1581,0,-1051671.953,-2066516.265,0,1,0,2,Artificial
485,Shamrock,0,Dam, ,BORE,Dam,1631,0,-1056006.555,-2050553.09,0,1,0,2,Artificial
486,Shamrock,0,Dam, ,BORE,Dam,1681,0,-1043020.372,-2041435.247,0,1,0,2,Artificial
487,Shamrock,0,Dam, ,BORE,Dam,1680,0,-1051466.213,-2042071.105,0,1,0,2,Artificial
488,Shamrock,0,Dam, ,BORE,Dam,1705,0,-1036795.31,-2033670.503,0,1,0,2,Artificial
489,Shamrock,0,Dam, ,BORE,Dam,1747,0,-1044841.843,-2021673.668,0,1,0,2,Artificial
490,Pardoo,0,Tank, ,BORE,Tank,534,0,-1290088.296,-2219691.601,0,1,0,1,Artificial
491,Mandora,0, , ,BORE, ,1027,0,-1161206.586,-2166967.817,0,1,0,1,Artificial
492,Mandora,0, , ,BORE, ,1027,0,-1160940.812,-2167177.171,0,1,0,1,Artificial
493, ,0, , ,BORE, ,322,0,-1224050.796,-2234751.8,0,1,0,1,Artificial
