FID,Property,Area,Status,Name,Old_name,RT_status,r_raster3,ARRIVE_MCP,POINT_X,POINT_Y,IPA,art_nat,Perimeter,Type,Purpose
54,Anna Plains,0,Bore,Rocky Bore 1, , ,1190,0,-1116158.099,-2143101.918,0,1,0,1,Artificial
55,Anna Plains,0,Tank,Links Concrete Tank, , ,1190,0,-1116243.786,-2142622.232,0,1,0,1,Artificial
56,Anna Plains,0,Dam,Butch Turkey Nest, , ,1223,0,-1123352.905,-2137905.734,0,1,0,2,Artificial
57,Anna Plains,0,Dam,Tim Turkey Nest, , ,1189,0,-1120577.214,-2140830.757,0,1,0,2,Artificial
58,Anna Plains,0,Bore,Rockys Bore 2, , ,1154,0,-1116039.76,-2143595.596,0,1,0,1,Artificial
59,Anna Plains,0,Tank,Rocky Fibreglass Tank, , ,1153,0,-1120275.424,-2144561.022,0,1,0,1,Artificial
60,Anna Plains,0,Tank,Fly Fibreglass Tank, , ,1153,0,-1122024.861,-2143885.14,0,1,0,1,Artificial
61,Anna Plains,0,Dam,Marks Turkey Nest, , ,1189,0,-1122831.972,-2143105.793,0,1,0,2,Artificial
62,Anna Plains,0,Dam,Samphire Turkey Nest, , ,1188,0,-1126362.187,-2141745.811,0,1,0,2,Artificial
63,Anna Plains,0,Bore,McGoo Bore, , ,1153,0,-1118095.991,-2147540.775,0,1,0,1,Artificial
64,Anna Plains,0,Tank,Richard Poly, , ,1152,0,-1126114.986,-2147073.786,0,1,0,1,Artificial
65,Anna Plains,0,Tank,Eva Poly, , ,1187,0,-1128828.619,-2144008.295,0,1,0,1,Artificial
66,Anna Plains,0,Tank,Judith Poly, , ,1151,0,-1131236.247,-2146130.098,0,1,0,1,Artificial
67,Anna Plains,0,Bore,MRD Bore, , ,1116,0,-1117381.944,-2151428.363,0,1,0,1,Artificial
68,Anna Plains,0,Tank,Scotland Fibreglass Tank, , ,1116,0,-1118905.27,-2150270.255,0,1,0,1,Artificial
69,Anna Plains,0,Tank,England Fibreglass Tank, , ,1115,0,-1123762.877,-2150384.226,0,1,0,1,Artificial
70,Anna Plains,0,Tank,Wales Fibreglass Tank, , ,1115,0,-1127183.846,-2151070.821,0,1,0,1,Artificial
71,Anna Plains,0,Dam,James Turkey Nest, , ,1076,0,-1123175.562,-2157077.619,0,1,0,2,Artificial
72,Anna Plains,0,Bore,Wotans Bore, , ,1033,0,-1132351.782,-2165025.5,0,1,0,1,Artificial
73,Anna Plains,0,Tank,Wotans Fibreglass Tank, , ,1032,0,-1133141.515,-2164445.798,0,1,0,1,Artificial
74,Anna Plains,0,Dam,Fays Turkey Nest, , ,1074,0,-1133230.775,-2157970.578,0,1,0,2,Artificial
75,Anna Plains,0,Dam,Ooks Turkey Nest, , ,1113,0,-1135670.222,-2154607.646,0,1,0,2,Artificial
76,Anna Plains,0,Tank,Brians Poly, , ,1113,0,-1136272.255,-2151610.545,0,1,0,1,Artificial
77,Anna Plains,0,Tank,Phire Bore, , ,1357,0,-1086305.245,-2108188.295,0,1,0,1,Artificial
78,Anna Plains,0,Tank,White Gum Bore, , ,1326,0,-1087349.687,-2116762.949,0,1,0,1,Artificial
79,Anna Plains,0,Tank,Milly Milly Bore, , ,1295,0,-1090319.708,-2120534.014,0,1,0,1,Artificial
80,Anna Plains,0,Tank,Walnut Bore, , ,1263,0,-1086403.181,-2126525.338,0,1,0,1,Artificial
81,Anna Plains,0,Tank,Baker Bore, , ,1261,0,-1097255.575,-2125950.84,0,1,0,1,Artificial
82,Anna Plains,0,Dam,Bakers Dam, , ,1262,0,-1095848.644,-2129291.62,0,1,0,2,Artificial
83,Anna Plains,0,Tank,Bull Head Bore, , ,1228,0,-1101294.268,-2131743.567,0,1,0,1,Artificial
84,Anna Plains,0,Tank,Wild Dog Bore, , ,1227,0,-1105354.011,-2136458.833,0,1,0,1,Artificial
85,Anna Plains,0,Dam,Bruce Dam, , ,1194,0,-1096507.368,-2139391.244,0,1,0,2,Artificial
86,Anna Plains,0,Tank,Camel Bore, , ,1118,0,-1106668.982,-2149793.041,0,1,0,1,Artificial
87,Anna Plains,0,Dam,Bob's Bore, , ,1121,0,-1097039.778,-2149409.883,0,1,0,2,Artificial
88,Anna Plains,0,Tank,Rosewood Bore, , ,1154,0,-1113520.455,-2146978.638,0,1,0,1,Artificial
89,Anna Plains,0,Tank,Emu Bore, , ,1117,0,-1113910.154,-2152447.483,0,1,0,1,Artificial
90,Anna Plains,0,Bore,Roscoe Bore, , ,1078,0,-1115442.318,-2156836.754,0,1,0,1,Artificial
91,Anna Plains,0,Tank,Combo Poly, , ,1077,0,-1117498.93,-2157021.851,0,1,0,1,Artificial
92,Anna Plains,0,Tank,Kalgoorlie Fibreglass, , ,1077,0,-1119126.964,-2158722.126,0,1,0,1,Artificial
93,Anna Plains,0,Tank,Friday Bore, , ,1078,0,-1111537.178,-2158260.081,0,1,0,1,Artificial
94,Anna Plains,0,Tank,Lyngett Bore, , ,1082,0,-1099055.027,-2156757.645,0,1,0,1,Artificial
95,Anna Plains,0,Tank,Boulder Bore, , ,1033,0,-1129303.751,-2167279.858,0,1,0,1,Artificial
96,Anna Plains,0,Tank,Coolgardie Well, , ,990,0,-1123075.437,-2167694.537,0,1,0,1,Artificial
97,Pardoo,0, ,Pardoo Caravan Park and Homestead,Dwelling, ,534,0,-1290514.777,-2218877.201,0,1,0,1,Dwelling
98,Wallal Downs,0, ,Wallal Downs Homestead,Dwelling, ,979,0,-1183924.708,-2172148.186,0,1,0,1,Dwelling
99,Mandora,0, ,Sandfire Roadhouse,Dwelling, ,1032,0,-1136841.338,-2167091.657,0,1,0,1,Dwelling
